00501	NY	Suffolk County	631
00544	NY	Suffolk County	631
00601	PR	Adjuntas Municipio	787, 939
00602	PR	Aguada Municipio	787, 939
00603	PR	Aguadilla Municipio	787, 939
00606	PR	Maricao Municipio	787, 939
00610	PR	Anasco Municipio	787, 939
00611	PR	Utuado Municipio	787, 939
00612	PR	Arecibo Municipio	787, 939
00616	PR	Arecibo Municipio	787, 939
00617	PR	Barceloneta Municipio	787, 939
00622	PR	Cabo Rojo Municipio	787, 939
00623	PR	Cabo Rojo Municipio	787, 939
00624	PR	Penuelas Municipio	787, 939
00627	PR	Camuy Municipio	787, 939
00631	PR	Lares Municipio	787, 939
00636	PR	San German Municipio	787, 939
00637	PR	Sabana Grande Municipio	787, 939
00638	PR	Ciales Municipio	787, 939
00641	PR	Utuado Municipio	787, 939
00646	PR	Dorado Municipio	787, 939
00647	PR	Guanica Municipio	787, 939
00650	PR	Florida Municipio	787, 939
00652	PR	Arecibo Municipio	787, 939
00653	PR	Guanica Municipio	787, 939
00656	PR	Guayanilla Municipio	787, 939
00659	PR	Hatillo Municipio	787, 939
00660	PR	Hormigueros Municipio	787, 939
00662	PR	Isabela Municipio	787, 939
00664	PR	Jayuya Municipio	787, 939
00667	PR	Lajas Municipio	787, 939
00669	PR	Lares Municipio	787, 939
00670	PR	Las Marias Municipio	787, 939
00674	PR	Manati Municipio	787, 939
00676	PR	Moca Municipio	787, 939
00677	PR	Rincon Municipio	787, 939
00678	PR	Quebradillas Municipio	787, 939
00680	PR	Mayaguez Municipio	787, 939
00682	PR	Mayaguez Municipio	787, 939
00683	PR	San German Municipio	787, 939
00685	PR	San Sebastian Municipio	787, 939
00687	PR	Morovis Municipio	787, 939
00688	PR	Arecibo Municipio	787, 939
00690	PR	Aguadilla Municipio	787, 939
00692	PR	Vega Alta Municipio	787, 939
00693	PR	Vega Baja Municipio	787, 939
00694	PR	Vega Baja Municipio	787, 939
00698	PR	Yauco Municipio	787, 939
00703	PR	Aguas Buenas Municipio	787, 939
00704	PR	Salinas Municipio	787, 939
00705	PR	Aibonito Municipio	787, 939
00707	PR	Maunabo Municipio	787, 939
00714	PR	Arroyo Municipio	787, 939
00715	PR	Ponce Municipio	787, 939
00716	PR	Ponce Municipio	787, 939
00717	PR	Ponce Municipio	787, 939
00718	PR	Naguabo Municipio	787, 939
00719	PR	Naranjito Municipio	787, 939
00720	PR	Orocovis Municipio	787, 939
00723	PR	Patillas Municipio	787, 939
00725	PR	Caguas Municipio	787, 939
00727	PR	Caguas Municipio	787, 939
00728	PR	Ponce Municipio	787, 939
00729	PR	Canovanas Municipio	787, 939
00730	PR	Ponce Municipio	787, 939
00731	PR	Ponce Municipio	787, 939
00735	PR	Ceiba Municipio	787, 939
00736	PR	Cayey Municipio	787, 939
00738	PR	Fajardo Municipio	787, 939
00739	PR	Cidra Municipio	787, 939
00740	PR	Fajardo Municipio	787, 939
00741	PR	Humacao Municipio	787, 939
00745	PR	Rio Grande Municipio	787, 939
00751	PR	Salinas Municipio	787, 939
00754	PR	San Lorenzo Municipio	787, 939
00757	PR	Santa Isabel Municipio	787, 939
00765	PR	Vieques Municipio	787, 939
00766	PR	Villalba Municipio	787, 939
00767	PR	Yabucoa Municipio	787, 939
00769	PR	Coamo Municipio	787, 939
00771	PR	Las Piedras Municipio	787, 939
00772	PR	Loiza Municipio	787, 939
00773	PR	Luquillo Municipio	787, 939
00775	PR	Culebra Municipio	787, 939
00777	PR	Juncos Municipio	787, 939
00778	PR	Gurabo Municipio	787, 939
00780	PR	Ponce Municipio	787, 939
00782	PR	Comerio Municipio	787, 939
00783	PR	Corozal Municipio	787, 939
00784	PR	Guayama Municipio	787, 939
00786	PR	Aibonito Municipio	787, 939
00791	PR	Humacao Municipio	787, 939
00794	PR	Barranquitas Municipio	787, 939
